City_ID,City,Country,Max Temp,Description,Lat,lng,Hotel Name
369,Sao Joao Da Barra,BR,73.58,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
371,Koumac,NC,78.6,clear sky,-20.5667,164.2833,Monitel Koumac
374,Sijunjung,ID,88.83,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
375,Vao,NC,77.14,clear sky,-22.6667,167.4833,Nataiwatch
376,San Felipe,VE,70.18,overcast clouds,10.3399,-68.7425,No hotel found
377,Golaghat,IN,87.82,clear sky,26.5167,93.9667,No hotel found
378,Morrope,PE,78.91,overcast clouds,-6.5417,-80.0111,No hotel found
379,Sakakah,SA,71.17,clear sky,29.9697,40.2064,فندق النزل
387,Sibolga,ID,87.26,broken clouds,1.7427,98.7792,Hotel Prima Indah
388,Samrala,IN,88.86,clear sky,30.8367,76.1897,Gill Regency
397,Koundara,GN,74.05,scattered clouds,12.4833,-13.3,Koundara
399,Muisne,EC,77.85,overcast clouds,0.6,-80.0333,Hostal Té de Menta
400,Kongolo,CD,72.34,broken clouds,-5.3833,27.0,No hotel found
401,Sandakan,MY,89.28,scattered clouds,5.8402,118.1179,Hotel City Star
406,Nkowakowa,ZA,79.12,clear sky,-23.8878,30.2871,No hotel found
408,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,No hotel found
409,Houma,US,71.6,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
411,Souillac,MU,82.78,broken clouds,-20.5167,57.5167,Hotel SkylineInn
412,Umm Kaddadah,SD,81.99,overcast clouds,13.6017,26.6876,No hotel found
413,Yichang,CN,73.83,scattered clouds,30.7144,111.2847,Luck 7 Inn Yichang CBD
416,Nampula,MZ,73.35,mist,-15.1165,39.2666,Hotel Lurio
422,Gilbues,BR,73.13,scattered clouds,-9.8317,-45.3439,Hotel Camapua
426,Dalaoig,PH,79.07,overcast clouds,17.933,121.7155,No hotel found
430,Itarema,BR,75.0,broken clouds,-2.9248,-39.9167,Pousada Oásis
434,Guarapari,BR,76.89,broken clouds,-20.6667,-40.4975,Osmar Hotel
435,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Deyna's City Inn
436,Ulladulla,AU,70.77,broken clouds,-35.35,150.4667,Hotel Marlin
437,Coffs Harbour,AU,80.56,clear sky,-30.3,153.1333,The Coast Hotel
441,Hatillo,PR,72.39,overcast clouds,18.4863,-66.8254,No hotel found
444,The Valley,AI,77.09,overcast clouds,18.217,-63.0578,CeBlue
450,Vanimo,PG,79.48,overcast clouds,-2.6741,141.3028,CBC Guesthouse
451,Pascagoula,US,70.52,light rain,30.3658,-88.5561,Grand Magnolia
452,Ampanihy,MG,79.38,broken clouds,-24.7,44.75,Hotel restaurant Angora
453,Chirongui,YT,85.93,overcast clouds,-12.9319,45.1483,No hotel found
457,Sawakin,SD,79.65,clear sky,19.1059,37.3321,Hotel Halfa
458,Gat,IL,73.4,scattered clouds,31.61,34.7642,No hotel found
459,Malanville,BJ,85.32,scattered clouds,11.8685,3.3899,Hôtel les Relais du Sahel
460,Xuddur,SO,81.97,broken clouds,4.1213,43.8894,No hotel found
462,Torit,SS,85.86,few clouds,4.4133,32.5678,Safari Link
465,Chicama,PE,77.54,overcast clouds,-7.8447,-79.1469,No hotel found
466,Kayes,ML,81.86,few clouds,14.0,-11.0,No hotel found
467,Samarai,PG,82.0,moderate rain,-10.6167,150.6667,No hotel found
